store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,TXN_00441,2026-03-03T14:38:12Z,1240.00
STORE_BLR_002,TXN_00442,2026-03-03T14:41:55Z,680.00
STORE_BLR_002,TXN_00443,2026-03-03T15:02:10Z,2100.00
STORE_BLR_002,TXN_00444,2026-03-03T15:18:44Z,450.00
STORE_BLR_002,TXN_00445,2026-03-03T15:33:21Z,890.00
STORE_BLR_002,TXN_00446,2026-03-03T16:05:09Z,1560.00
STORE_BLR_002,TXN_00447,2026-03-03T16:22:37Z,320.00
STORE_BLR_002,TXN_00448,2026-03-03T16:45:58Z,3200.00
STORE_BLR_002,TXN_00449,2026-03-03T17:11:03Z,780.00
STORE_BLR_002,TXN_00450,2026-03-03T17:38:45Z,1100.00
